"DATE","SITE","TREATMENT","TRAP","Genus.species","DormancyClass","Dispersal","Seeds"
"5/6/19","WP","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","GG","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","DF","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","WP","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","DF","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","DF","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","OS","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","DF","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","WP","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",3
"10/21/19","GG","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","DF","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","WP","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","GG","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",1
"10/21/19","OS","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","OS","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","DF","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","WP","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","WP","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","GG","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","GG","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","OS","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","OS","MME","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","OS","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","GG","MME","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","OS","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","DF","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","DF","MME","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","WP","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","DF","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","WP","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","GG","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","OS","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","DF","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","DF","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","DF","MME","A","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","WP","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","OS","MME","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","WP","MME","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","WP","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","WP","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","GG","CONTROL","B","Helianthus hirsutus","PD","Anemochory",1
"6/1/19","WP","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","OS","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","WP","MME","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","OS","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","OS","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","DF","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","OS","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","GG","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","DF","MME","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","WP","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","GG","MME","A","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","OS","MME","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","GG","MME","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","WP","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","GG","CONTROL","B","Helianthus hirsutus","PD","Anemochory",1
"7/21/19","WP","MME","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","WP","MME","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","OS","MME","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","GG","MME","B","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","DF","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","OS","MME","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","DF","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","GG","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","DF","MME","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","WP","MME","A","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","DF","MME","B","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","GG","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","GG","MME","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","WP","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","GG","MME","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","OS","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","GG","MME","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","DF","MME","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","OS","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"7/21/19","WP","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","WP","CONTROL","A","Helianthus hirsutus","PD","Anemochory",1
"7/21/19","OS","MME","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","GG","MME","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","GG","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","OS","MME","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","DF","CONTROL","A","Helianthus hirsutus","PD","Anemochory",0
"5/6/19","GG","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"6/1/19","DF","CONTROL","B","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","DF","MME","A","Helianthus hirsutus","PD","Anemochory",0
"10/21/19","DF","CONTROL","B","Asclepias asperula","ND","Anemochory",1
"10/21/19","DF","CONTROL","A","Asclepias asperula","ND","Anemochory",1
"6/1/19","OS","MME","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","DF","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","GG","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","WP","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","WP","MME","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","GG","MME","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","DF","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","WP","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","WP","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","WP","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","GG","MME","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","WP","MME","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","DF","MME","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","GG","MME","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","OS","MME","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","GG","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","DF","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","GG","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","DF","MME","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","OS","MME","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","GG","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","GG","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","WP","MME","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","OS","MME","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","GG","MME","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","DF","MME","A","Asclepias asperula","ND","Anemochory",1
"5/6/19","OS","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","OS","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","WP","MME","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","DF","MME","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","WP","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","DF","MME","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","OS","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","GG","MME","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","GG","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","WP","MME","A","Asclepias asperula","ND","Anemochory",2
"7/21/19","DF","MME","B","Asclepias asperula","ND","Anemochory",1
"6/1/19","DF","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"5/6/19","DF","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","OS","MME","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","DF","MME","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","OS","MME","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","DF","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","OS","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","DF","MME","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","OS","MME","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","WP","MME","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","GG","MME","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","GG","MME","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","WP","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","OS","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"6/1/19","OS","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","OS","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"6/1/19","WP","MME","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","OS","MME","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","GG","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","WP","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","OS","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"10/21/19","GG","MME","B","Asclepias asperula","ND","Anemochory",0
"5/6/19","GG","CONTROL","B","Asclepias asperula","ND","Anemochory",0
"7/21/19","WP","CONTROL","A","Asclepias asperula","ND","Anemochory",0
"7/21/19","WP","MME","B","Asclepias asperula","ND","Anemochory",0
"10/21/19","DF","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","OS","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","DF","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","OS","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","WP","MME","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","OS","MME","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","WP","MME","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","WP","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","GG","MME","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","WP","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","DF","MME","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","WP","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","GG","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","GG","MME","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","WP","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","OS","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","GG","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","DF","MME","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","DF","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","DF","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","GG","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","OS","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","DF","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","DF","MME","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","OS","MME","B","Rubus sp.","PD","Endozoochory",0
"7/21/19","GG","MME","A","Rubus sp.","PD","Endozoochory",6
"7/21/19","WP","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","WP","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","GG","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","WP","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","WP","MME","B","Rubus sp.","PD","Endozoochory",0
"7/21/19","OS","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","GG","MME","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","WP","MME","B","Rubus sp.","PD","Endozoochory",0
"7/21/19","OS","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"7/21/19","WP","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","DF","MME","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","WP","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","WP","MME","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","OS","MME","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","OS","MME","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","GG","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","OS","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","DF","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","OS","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","GG","MME","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","GG","MME","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","OS","MME","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","WP","MME","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","DF","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"7/21/19","OS","MME","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","GG","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"10/21/19","GG","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","WP","MME","B","Rubus sp.","PD","Endozoochory",0
"10/21/19","GG","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","DF","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","DF","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"6/1/19","OS","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","DF","CONTROL","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","DF","MME","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","GG","CONTROL","B","Rubus sp.","PD","Endozoochory",0
"5/6/19","DF","MME","A","Rubus sp.","PD","Endozoochory",0
"6/1/19","GG","MME","A","Rubus sp.","PD","Endozoochory",0
"5/6/19","OS","MME","A","Rubus sp.","PD","Endozoochory",0
"7/21/19","GG","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","GG","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","WP","MME","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","OS","MME","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","OS","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","GG","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","WP","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","OS","MME","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","GG","MME","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","DF","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","DF","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","DF","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","OS","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","OS","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","WP","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","GG","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","GG","MME","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","GG","MME","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","GG","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","GG","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","GG","MME","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","GG","MME","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","WP","MME","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","DF","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","OS","MME","A","Fraxinus sp.","PD","Anemochory",0
"7/21/19","WP","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","WP","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","GG","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"7/21/19","DF","MME","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","WP","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","OS","MME","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","WP","MME","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","WP","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","DF","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","OS","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","OS","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","GG","MME","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","OS","MME","A","Fraxinus sp.","PD","Anemochory",0
"7/21/19","DF","MME","A","Fraxinus sp.","PD","Anemochory",0
"7/21/19","OS","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"7/21/19","OS","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","WP","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","DF","MME","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","DF","MME","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","DF","MME","B","Fraxinus sp.","PD","Anemochory",2
"10/21/19","WP","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","WP","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","DF","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","OS","MME","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","DF","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"6/1/19","WP","MME","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","WP","MME","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","DF","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","OS","MME","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","DF","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","GG","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","WP","CONTROL","A","Fraxinus sp.","PD","Anemochory",1
"5/6/19","OS","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"10/21/19","OS","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","WP","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"5/6/19","GG","CONTROL","B","Fraxinus sp.","PD","Anemochory",0
"7/21/19","DF","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"5/6/19","GG","CONTROL","A","Fraxinus sp.","PD","Anemochory",0
"10/21/19","DF","MME","A","Fraxinus sp.","PD","Anemochory",0
"6/1/19","DF","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","GG","MME","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","WP","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","GG","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","OS","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","DF","MME","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","DF","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","WP","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","DF","MME","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","GG","MME","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","OS","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","WP","MME","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","OS","MME","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","OS","MME","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","GG","MME","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","OS","MME","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","WP","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","GG","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","WP","MME","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","GG","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","OS","MME","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","DF","MME","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","WP","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","GG","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","GG","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","OS","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","OS","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","GG","MME","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","OS","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","DF","CONTROL","B","Andropogon sp.",NA,"Anemochory",39
"7/21/19","DF","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","DF","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","DF","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","OS","MME","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","WP","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"6/1/19","GG","MME","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","GG","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","DF","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","DF","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","WP","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","OS","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","OS","MME","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","OS","MME","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","DF","MME","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","DF","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","OS","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","WP","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","WP","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","OS","MME","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","GG","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","WP","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","DF","MME","A","Andropogon sp.",NA,"Anemochory",0
"7/21/19","WP","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","GG","MME","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","WP","MME","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","WP","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"10/21/19","WP","MME","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","OS","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","WP","MME","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","DF","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"5/6/19","GG","CONTROL","A","Andropogon sp.",NA,"Anemochory",0
"6/1/19","GG","MME","B","Andropogon sp.",NA,"Anemochory",0
"5/6/19","GG","CONTROL","B","Andropogon sp.",NA,"Anemochory",0
"10/21/19","DF","MME","B","Andropogon sp.",NA,"Anemochory",0
"7/21/19","OS","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"7/21/19","OS","MME","B","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","WP","MME","B","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","OS","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","WP","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"7/21/19","DF","MME","A","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","OS","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","WP","MME","A","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","WP","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","WP","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","DF","MME","B","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","DF","MME","A","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","DF","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"7/21/19","GG","MME","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","OS","MME","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","WP","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","WP","MME","A","Anemochory sp. 2","ND","Anemochory",7
"6/1/19","DF","MME","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","WP","MME","B","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","OS","MME","A","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","DF","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","OS","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","GG","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"6/1/19","GG","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","WP","MME","A","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","OS","MME","B","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","GG","CONTROL","A","Anemochory sp. 2","ND","Anemochory",0
"7/21/19","WP","MME","A","Anemochory sp. 2","ND","Anemochory",0
"10/21/19","WP","CONTROL","B","Anemochory sp. 2","ND","Anemochory",0
"5/6/19","OS","MME","B","Anemochory sp. 2","ND","Anemochory",0
