"Rounded.date","Site","Treatment","Carrion","Exclusion","Genus.species","DormancyClass","Cover"
2019-04-21,"DF","CO","Low","Open","Oenothera biennis","PD",0
2019-06-02,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2021-07-18,"OS","MH","High","Herbivore","Oenothera biennis","PD",0
2019-03-17,"OS","MO","High","Open","Oenothera biennis","PD",0
2020-07-19,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-04-21,"WP","MH","High","Herbivore","Oenothera biennis","PD",0
2019-04-21,"GG","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-06-02,"OS","MO","High","Open","Oenothera biennis","PD",0
2019-07-21,"OS","MO","High","Open","Oenothera biennis","PD",0
2020-07-19,"DF","CS","Low","Scavenger","Oenothera biennis","PD",0
2020-07-19,"WP","MH","High","Herbivore","Oenothera biennis","PD",0
2019-07-21,"DF","CS","Low","Scavenger","Oenothera biennis","PD",0
2021-07-18,"GG","REF","Reference","Herbivore","Oenothera biennis","PD",0
2020-07-19,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2019-06-02,"GG","CO","Low","Open","Oenothera biennis","PD",0
2019-07-21,"GG","CO","Low","Open","Oenothera biennis","PD",0
2019-03-17,"DF","MH","High","Herbivore","Oenothera biennis","PD",0
2019-03-17,"WP","CO","Low","Open","Oenothera biennis","PD",0
2021-07-18,"GG","CO","Low","Open","Oenothera biennis","PD",0
2019-07-21,"OS","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-07-21,"WP","MO","High","Open","Oenothera biennis","PD",0
2021-07-18,"DF","MS","High","Scavenger","Oenothera biennis","PD",0
2019-04-21,"WP","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-05-05,"DF","MO","High","Open","Oenothera biennis","PD",0
2019-03-17,"WP","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-06-02,"DF","MO","High","Open","Oenothera biennis","PD",0
2020-07-19,"WP","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-04-21,"DF","MS","High","Scavenger","Oenothera biennis","PD",0
2019-05-05,"WP","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-05-05,"DF","MS","High","Scavenger","Oenothera biennis","PD",0
2019-05-05,"OS","MO","High","Open","Oenothera biennis","PD",0
2019-04-21,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2021-07-18,"WP","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-04-21,"OS","MH","High","Herbivore","Oenothera biennis","PD",0
2021-07-18,"GG","CH","Low","Herbivore","Oenothera biennis","PD",0
2020-07-19,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-03-17,"GG","MS","High","Scavenger","Oenothera biennis","PD",0
2020-07-19,"OS","MH","High","Herbivore","Oenothera biennis","PD",0
2019-05-05,"GG","MS","High","Scavenger","Oenothera biennis","PD",0
2019-06-02,"OS","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-04-21,"OS","MO","High","Open","Oenothera biennis","PD",0
2019-07-21,"GG","MS","High","Scavenger","Oenothera biennis","PD",0
2021-07-18,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-06-02,"WP","MS","High","Scavenger","Oenothera biennis","PD",0
2021-07-18,"WP","MH","High","Herbivore","Oenothera biennis","PD",0
2019-03-17,"GG","CO","Low","Open","Oenothera biennis","PD",0
2021-07-18,"OS","MO","High","Open","Oenothera biennis","PD",0
2019-07-21,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2019-05-05,"WP","MO","High","Open","Oenothera biennis","PD",0
2019-05-05,"OS","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-06-02,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2021-07-18,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2019-06-02,"WP","MO","High","Open","Oenothera biennis","PD",0
2020-07-19,"GG","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-05-05,"DF","MH","High","Herbivore","Oenothera biennis","PD",0
2019-07-21,"DF","MO","High","Open","Oenothera biennis","PD",0
2020-07-19,"OS","MO","High","Open","Oenothera biennis","PD",0
2019-06-02,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-03-17,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-05-05,"OS","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-04-21,"WP","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-05-05,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-06-02,"WP","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-03-17,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2019-07-21,"WP","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-04-21,"DF","MH","High","Herbivore","Oenothera biennis","PD",0
2019-04-21,"OS","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-04-21,"WP","MO","High","Open","Oenothera biennis","PD",0
2019-07-21,"OS","MH","High","Herbivore","Oenothera biennis","PD",0
2019-05-05,"GG","CO","Low","Open","Oenothera biennis","PD",0
2019-03-17,"OS","CH","Low","Herbivore","Oenothera biennis","PD",0
2019-05-05,"WP","CH","Low","Herbivore","Oenothera biennis","PD",0
2021-07-18,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-04-21,"GG","CO","Low","Open","Oenothera biennis","PD",0
2019-06-02,"GG","MS","High","Scavenger","Oenothera biennis","PD",0
2019-07-21,"DF","REF","Reference","Herbivore","Oenothera biennis","PD",0
2019-05-05,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-03-17,"WP","MO","High","Open","Oenothera biennis","PD",0
2019-05-05,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2019-04-21,"WP","CS","Low","Scavenger","Oenothera biennis","PD",0
2019-04-21,"OS","MS","High","Scavenger","Oenothera biennis","PD",0
2020-07-19,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-04-21,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-05-05,"WP","CO","Low","Open","Plantago aristata","PD",0
2019-03-17,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-03-17,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-06-02,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-06-02,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-04-21,"WP","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2020-07-19,"GG","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-04-21,"OS","MO","High","Open","Plantago aristata","PD",0
2019-03-17,"OS","MO","High","Open","Plantago aristata","PD",0
2019-05-05,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-03-17,"OS","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-04-21,"OS","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2021-07-18,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2021-07-18,"WP","MO","High","Open","Plantago aristata","PD",0
2019-04-21,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-05-05,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-03-17,"GG","MO","High","Open","Plantago aristata","PD",0
2021-07-18,"GG","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-06-02,"WP","MO","High","Open","Plantago aristata","PD",0
2019-05-05,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-06-02,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-05-05,"DF","MO","High","Open","Plantago aristata","PD",0.06
2021-07-18,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2021-07-18,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-07-21,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2020-07-19,"DF","MO","High","Open","Plantago aristata","PD",0
2019-06-02,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-06-02,"DF","MO","High","Open","Plantago aristata","PD",0
2019-03-17,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-07-21,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"WP","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"GG","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"OS","CO","Low","Open","Plantago aristata","PD",0
2019-03-17,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-05-05,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2020-07-19,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-06-02,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-05-05,"OS","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-04-21,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-04-21,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2021-07-18,"OS","MO","High","Open","Plantago aristata","PD",0
2019-07-21,"OS","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-06-02,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2021-07-18,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-05-05,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-04-21,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-05-05,"GG","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2021-07-18,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2021-07-18,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-03-17,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2019-07-21,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-05-05,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-06-02,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2019-06-02,"OS","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"GG","MO","High","Open","Plantago aristata","PD",0
2021-07-18,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2021-07-18,"OS","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2021-07-18,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0
2020-07-19,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0
2021-07-18,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2020-07-19,"WP","CO","Low","Open","Plantago aristata","PD",0
2019-05-05,"OS","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-05-05,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2021-07-18,"GG","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-07-21,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2019-04-21,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-03-17,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-03-17,"DF","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"DF","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-06-02,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-06-02,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2020-07-19,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-06-02,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2019-03-17,"GG","CO","Low","Open","Plantago aristata","PD",0
2019-03-17,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","CO","Low","Open","Plantago aristata","PD",0
2019-06-02,"GG","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-07-21,"WP","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"WP","MO","High","Open","Plantago aristata","PD",0
2019-03-17,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-05-05,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2020-07-19,"OS","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-03-17,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2020-07-19,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2021-07-18,"GG","CS","Low","Scavenger","Plantago aristata","PD",0
2019-07-21,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2019-04-21,"DF","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"DF","MO","High","Open","Plantago aristata","PD",0
2019-06-02,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-03-17,"WP","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"DF","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"OS","CS","Low","Scavenger","Plantago aristata","PD",0
2019-07-21,"WP","CO","Low","Open","Plantago aristata","PD",0
2019-05-05,"GG","MO","High","Open","Plantago aristata","PD",0
2019-06-02,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2021-07-18,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2019-04-21,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-07-21,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-06-02,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"DF","REF","Reference","Herbivore","Plantago aristata","PD",0
2021-07-18,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2020-07-19,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2021-07-18,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-06-02,"OS","MO","High","Open","Plantago aristata","PD",0
2019-05-05,"WP","MH","High","Herbivore","Plantago aristata","PD",0.06
2019-05-05,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-06-02,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-03-17,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2019-07-21,"GG","REF","Reference","Herbivore","Plantago aristata","PD",0
2021-07-18,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-03-17,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-07-21,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2019-05-05,"OS","CH","Low","Herbivore","Plantago aristata","PD",0
2019-05-05,"WP","MO","High","Open","Plantago aristata","PD",0
2019-07-21,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-04-21,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2019-03-17,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2019-03-17,"DF","MO","High","Open","Plantago aristata","PD",0
2019-07-21,"DF","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"WP","CH","Low","Herbivore","Plantago aristata","PD",0
2020-07-19,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-07-21,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-03-17,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0.13
2019-05-05,"GG","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"DF","CO","Low","Open","Plantago aristata","PD",0
2019-05-05,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2021-07-18,"WP","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","MO","High","Open","Plantago aristata","PD",0
2019-06-02,"OS","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2020-07-19,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2020-07-19,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-05-05,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2019-06-02,"DF","CO","Low","Open","Plantago aristata","PD",0
2019-03-17,"GG","MS","High","Scavenger","Plantago aristata","PD",0
2019-04-21,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2020-07-19,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2019-05-05,"OS","MS","High","Scavenger","Plantago aristata","PD",0
2019-07-21,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-04-21,"GG","CO","Low","Open","Plantago aristata","PD",0
2019-04-21,"WP","MO","High","Open","Plantago aristata","PD",0
2019-06-02,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-03-17,"WP","MO","High","Open","Plantago aristata","PD",0
2019-03-17,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2020-07-19,"OS","MO","High","Open","Plantago aristata","PD",0
2019-07-21,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-07-21,"OS","MO","High","Open","Plantago aristata","PD",0
2020-07-19,"DF","CO","Low","Open","Plantago aristata","PD",0
2021-07-18,"WP","MS","High","Scavenger","Plantago aristata","PD",0
2019-04-21,"WP","REF","Reference","Herbivore","Plantago aristata","PD",0
2019-07-21,"DF","MS","High","Scavenger","Plantago aristata","PD",0
2019-07-21,"GG","CH","Low","Herbivore","Plantago aristata","PD",0
2021-07-18,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-05-05,"DF","CH","Low","Herbivore","Plantago aristata","PD",0
2019-06-02,"GG","MO","High","Open","Plantago aristata","PD",0
2019-07-21,"DF","CO","Low","Open","Plantago aristata","PD",0
2019-03-17,"WP","CS","Low","Scavenger","Plantago aristata","PD",0
2019-04-21,"DF","CS","Low","Scavenger","Plantago aristata","PD",0
2021-07-18,"DF","CO","Low","Open","Plantago aristata","PD",0
2020-07-19,"WP","MH","High","Herbivore","Plantago aristata","PD",0
2019-07-21,"GG","CO","Low","Open","Plantago virginica","PD",0
2019-06-02,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2019-06-02,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2020-07-19,"WP","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2019-04-21,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-05-05,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2021-07-18,"WP","MO","High","Open","Plantago virginica","PD",0
2019-03-17,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2020-07-19,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-06-02,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-04-21,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2021-07-18,"WP","CH","Low","Herbivore","Plantago virginica","PD",0
2019-07-21,"WP","MO","High","Open","Plantago virginica","PD",0
2021-07-18,"GG","CO","Low","Open","Plantago virginica","PD",0
2019-04-21,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2019-05-05,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-07-21,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-07-21,"OS","CO","Low","Open","Plantago virginica","PD",0
2019-07-21,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2021-07-18,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2019-07-21,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2019-04-21,"OS","MO","High","Open","Plantago virginica","PD",0.06
2021-07-18,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-03-17,"GG","CH","Low","Herbivore","Plantago virginica","PD",0
2020-07-19,"OS","MH","High","Herbivore","Plantago virginica","PD",0
2019-05-05,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2019-06-02,"WP","MO","High","Open","Plantago virginica","PD",0
2019-06-02,"GG","CO","Low","Open","Plantago virginica","PD",0
2019-03-17,"GG","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"GG","CO","Low","Open","Plantago virginica","PD",0
2021-07-18,"OS","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"GG","CO","Low","Open","Plantago virginica","PD",0
2021-07-18,"GG","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-05-05,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2019-04-21,"GG","CS","Low","Scavenger","Plantago virginica","PD",0.06
2020-07-19,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-07-21,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2020-07-19,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2021-07-18,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-05-05,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-04-21,"WP","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-05-05,"DF","MO","High","Open","Plantago virginica","PD",0
2020-07-19,"WP","CH","Low","Herbivore","Plantago virginica","PD",0
2021-07-18,"OS","CO","Low","Open","Plantago virginica","PD",0
2019-05-05,"OS","CS","Low","Scavenger","Plantago virginica","PD",0
2019-06-02,"OS","CS","Low","Scavenger","Plantago virginica","PD",0
2019-03-17,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2021-07-18,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2019-05-05,"GG","CS","Low","Scavenger","Plantago virginica","PD",0
2021-07-18,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2019-07-21,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2019-04-21,"DF","CH","Low","Herbivore","Plantago virginica","PD",0.06
2021-07-18,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2021-07-18,"GG","MO","High","Open","Plantago virginica","PD",0
2019-07-21,"WP","CS","Low","Scavenger","Plantago virginica","PD",0
2019-06-02,"DF","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-03-17,"DF","CO","Low","Open","Plantago virginica","PD",0
2021-07-18,"WP","CS","Low","Scavenger","Plantago virginica","PD",0
2019-07-21,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"OS","CS","Low","Scavenger","Plantago virginica","PD",0
2019-07-21,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"WP","MH","High","Herbivore","Plantago virginica","PD",0
2021-07-18,"WP","MH","High","Herbivore","Plantago virginica","PD",0
2021-07-18,"GG","CH","Low","Herbivore","Plantago virginica","PD",0
2019-05-05,"WP","MO","High","Open","Plantago virginica","PD",0.06
2020-07-19,"GG","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-04-21,"GG","CO","Low","Open","Plantago virginica","PD",0
2020-07-19,"OS","MS","High","Scavenger","Plantago virginica","PD",0
2019-03-17,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2019-06-02,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2019-03-17,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-04-21,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2019-03-17,"GG","CS","Low","Scavenger","Plantago virginica","PD",0
2021-07-18,"OS","CH","Low","Herbivore","Plantago virginica","PD",0
2019-06-02,"WP","MS","High","Scavenger","Plantago virginica","PD",0
2019-06-02,"GG","CS","Low","Scavenger","Plantago virginica","PD",0
2020-07-19,"GG","CS","Low","Scavenger","Plantago virginica","PD",0
2019-03-17,"DF","MO","High","Open","Plantago virginica","PD",0
2021-07-18,"GG","CS","Low","Scavenger","Plantago virginica","PD",0
2019-03-17,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2020-07-19,"OS","CO","Low","Open","Plantago virginica","PD",0
2019-06-02,"DF","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2019-03-17,"WP","CO","Low","Open","Plantago virginica","PD",0
2020-07-19,"GG","MH","High","Herbivore","Plantago virginica","PD",0
2019-07-21,"OS","CS","Low","Scavenger","Plantago virginica","PD",0
2019-05-05,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2019-04-21,"GG","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"GG","MO","High","Open","Plantago virginica","PD",0
2019-03-17,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2020-07-19,"DF","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"GG","MO","High","Open","Plantago virginica","PD",0
2019-06-02,"DF","CH","Low","Herbivore","Plantago virginica","PD",0
2019-07-21,"OS","MH","High","Herbivore","Plantago virginica","PD",0
2019-03-17,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2020-07-19,"WP","CS","Low","Scavenger","Plantago virginica","PD",0
2021-07-18,"OS","MH","High","Herbivore","Plantago virginica","PD",0
2019-05-05,"OS","MO","High","Open","Plantago virginica","PD",0
2019-06-02,"DF","CO","Low","Open","Plantago virginica","PD",0
2019-04-21,"GG","CH","Low","Herbivore","Plantago virginica","PD",0
2021-07-18,"GG","MS","High","Scavenger","Plantago virginica","PD",0
2019-07-21,"WP","MH","High","Herbivore","Plantago virginica","PD",0
2019-07-21,"GG","CH","Low","Herbivore","Plantago virginica","PD",0
2019-03-17,"DF","CS","Low","Scavenger","Plantago virginica","PD",0
2019-03-17,"WP","MO","High","Open","Plantago virginica","PD",0
2019-03-17,"GG","CO","Low","Open","Plantago virginica","PD",0
2019-07-21,"OS","MS","High","Scavenger","Plantago virginica","PD",0
2019-06-02,"DF","CS","Low","Scavenger","Plantago virginica","PD",0
2020-07-19,"DF","CS","Low","Scavenger","Plantago virginica","PD",0
2021-07-18,"DF","CS","Low","Scavenger","Plantago virginica","PD",0
2019-04-21,"OS","REF","Reference","Herbivore","Plantago virginica","PD",0
2021-07-18,"DF","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"OS","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-06-02,"DF","MH","High","Herbivore","Plantago virginica","PD",0
2019-07-21,"OS","REF","Reference","Herbivore","Plantago virginica","PD",0
2019-03-17,"OS","CO","Low","Open","Plantago virginica","PD",0
2019-04-21,"OS","CO","Low","Open","Plantago virginica","PD",0
2019-03-17,"WP","CH","Low","Herbivore","Plantago virginica","PD",0
2019-06-02,"WP","CH","Low","Herbivore","Plantago virginica","PD",0
2019-04-21,"DF","MO","High","Open","Plantago virginica","PD",0
2019-05-05,"WP","CH","Low","Herbivore","Plantago virginica","PD",0
