DATE,SITE,BIOMASS,EXCLUSION,VARIABLE,EFFECT.SIZE
5/4/2021,GG,MME,Scavenger,B,-0.54
5/4/2021,GG,Single carcass,Scavenger,N,-0.12
5/4/2021,GG,Single carcass,Scavenger,Ca,0.39
5/4/2021,GG,Single carcass,Scavenger,K,0.82
5/4/2021,GG,Single carcass,Scavenger,Mg,0.39
5/4/2021,GG,Single carcass,Scavenger,P,0.80
5/4/2021,GG,Single carcass,Scavenger,S,0.52
5/4/2021,GG,Single carcass,Scavenger,Cu,-0.13
5/4/2021,GG,Single carcass,Scavenger,Zn,-0.86
5/4/2021,GG,Single carcass,Scavenger,Mn,0.93
5/4/2021,GG,Single carcass,Scavenger,Fe,-0.41
5/4/2021,GG,Single carcass,Scavenger,B,-0.56
